accx,accy,accz,gyrox,gyro y,gyro z,accanglex,accangley,gyroanglex,gyroangley,gyroanglez,angle x,angle y,angle z
-0.09,-1,-0.12,2.89,-5.99,1.48,-91.41,6.09,54.14,258.6,2442.39,-77.93,-15.88,2442.39
-0.11,-1.01,-0.12,2.29,-3.74,0.24,-90.93,6.79,54.37,258.23,2442.42,-77.97,-15.79,2442.42
-0.11,-0.98,-0.15,-0.21,-15.89,3.07,-92.07,7.64,54.35,256.63,2442.73,-78.27,-16.9,2442.73
-0.1,-1,-0.13,-3.1,-8.44,6.36,-91.59,6.48,54.03,255.77,2443.37,-78.84,-17.26,2443.37
-0.1,-1,-0.15,1.15,-6.35,4.42,-92.55,6.93,54.15,255.13,2443.81,-79,-17.41,2443.81
-0.11,-0.99,-0.13,1.1,-4.28,4.13,-90.92,7.65,54.26,254.71,2444.23,-79.13,-17.33,2444.23
-0.1,-1,-0.13,3.35,-1.86,1.16,-92,6.55,54.59,254.52,2444.34,-79.06,-17.03,2444.34
-0.09,-1.01,-0.13,3.35,-3.83,3.94,-92.33,6.04,54.92,254.14,2444.73,-79,-16.94,2444.73
-0.1,-1,-0.15,-0.75,-9.66,1.36,-92.86,6.48,54.85,253.16,2444.87,-79.35,-17.43,2444.87
-0.1,-1,-0.15,4.63,-7.08,-1.77,-92.5,6.81,55.31,252.46,2444.69,-79.16,-17.64,2444.69
-0.1,-1,-0.12,6.03,-6.59,1,-91.23,6.43,55.92,251.79,2444.79,-78.81,-17.81,2444.79
-0.11,-0.99,-0.12,9.62,6.01,8.32,-90.94,7.09,56.88,252.39,2445.63,-78.11,-16.72,2445.63
-0.13,-1,-0.13,-5.23,-7.8,13.49,-89.89,8.67,56.37,251.62,2446.96,-78.85,-16.97,2446.96
-0.17,-0.97,-0.17,-6.79,-0.47,8.84,-90.22,11.64,55.67,251.57,2447.86,-79.76,-16.44,2447.86
-0.1,-1,-0.12,14.12,5.43,-19.29,-90.72,6.6,57.11,252.13,2445.9,-78.56,-15.44,2445.9
-0.1,-1.01,-0.12,3.1,-2.94,-6.2,-91.47,6.4,57.43,251.83,2445.27,-78.51,-15.3,2445.27
-0.12,-0.98,-0.1,3.07,-3.99,-0.89,-89.13,7.81,57.74,251.43,2445.18,-78.42,-15.23,2445.18
-0.1,-1,-0.13,-3.1,-8.44,6.36,-91.59,6.48,54.03,255.77,2443.37,-78.84,-17.26,2443.37
-0.1,-1,-0.15,1.15,-6.35,4.42,-92.55,6.93,54.15,255.13,2443.81,-79,-17.41,2443.81
-0.11,-0.99,-0.13,1.1,-4.28,4.13,-90.92,7.65,54.26,254.71,2444.23,-79.13,-17.33,2444.23
-0.1,-1,-0.13,3.35,-1.86,1.16,-92,6.55,54.59,254.52,2444.34,-79.06,-17.03,2444.34
-0.09,-1.01,-0.13,3.35,-3.83,3.94,-92.33,6.04,54.92,254.14,2444.73,-79,-16.94,2444.73
-0.1,-1,-0.15,-0.75,-9.66,1.36,-92.86,6.48,54.85,253.16,2444.87,-79.35,-17.43,2444.87
-0.1,-1,-0.15,4.63,-7.08,-1.77,-92.5,6.81,55.31,252.46,2444.69,-79.16,-17.64,2444.69
-0.1,-1,-0.12,6.03,-6.59,1,-91.23,6.43,55.92,251.79,2444.79,-78.81,-17.81,2444.79
-0.11,-0.99,-0.12,9.62,6.01,8.32,-90.94,7.09,56.88,252.39,2445.63,-78.11,-16.72,2445.63
-0.13,-1,-0.13,-5.23,-7.8,13.49,-89.89,8.67,56.37,251.62,2446.96,-78.85,-16.97,2446.96
-0.17,-0.97,-0.17,-6.79,-0.47,8.84,-90.22,11.64,55.67,251.57,2447.86,-79.76,-16.44,2447.86
-0.1,-1,-0.12,14.12,5.43,-19.29,-90.72,6.6,57.11,252.13,2445.9,-78.56,-15.44,2445.9
