accX,accY,accZ,gyroX,gyroY,gyroZ,accangleX,accAngleY,gyroangleX,gyroAngleY,gyroAngleZ,angleX,angleY,angleZ
-0.46,0.14,-0.9,3.18,-9.87,-3.86,162.59,149.07,483.86,-107.79,109.69,164.21,129.96,109.69
-0.47,0.12,-0.88,1.47,-7.41,0.83,163.08,148.11,484.01,-108.55,109.78,164.33,129.58,109.78
-0.47,0.14,-0.9,1.18,-2.92,-3.79,162.46,148.54,484.13,-108.84,109.4,164.41,129.67,109.4
-0.48,0.12,-0.9,-2.97,-8.53,0.24,163.7,148.5,482.97,-114.91,106.1,162.79,131.42,106.1
-0.47,0.15,-0.86,-3.98,-8.8,-1.43,158.46,146.08,482.57,-115.8,105.96,162.31,130.84,105.96
-0.49,0.14,-0.89,-0.42,-7.67,2.14,160.32,146.79,482.52,-116.59,106.18,162.23,130.38,106.18
-0.47,0.15,-0.88,-0.63,-0.76,1.37,160.07,147.46,482.46,-116.67,106.32,162.12,130.65,106.32
-0.45,0.15,-0.87,-2.6,-7.11,1.35,160.28,148.18,482.19,-117.4,106.46,161.82,130.28,106.46
-0.46,0.16,-0.89,-1.12,-6.07,0.28,159.66,147.86,482.08,-118.01,106.49,161.67,130.03,106.49
-0.46,0.14,-0.88,-1.27,-6.95,-1.2,162.13,148.32,481.95,-118.72,106.36,161.55,129.7,106.36
-0.47,0.14,-0.88,-0.43,-2.07,-4.24,160.92,147.59,481.9,-118.94,105.93,161.49,129.85,105.93
-0.46,0.15,-0.89,-0.88,-0.33,-1.79,160.7,147.95,481.81,-118.97,105.74,161.39,130.18,105.74
-0.49,0.15,-0.9,1.43,-0.85,-3.76,160.18,146.77,481.96,-119.06,105.36,161.51,130.42,105.36
-0.47,0.16,-0.86,1.52,-1.43,-2.12,158.34,146.55,482.12,-119.2,105.14,161.6,130.6,105.14
-0.48,0.15,-0.89,1.47,-1.47,-0.01,160.56,147.35,482.26,-119.35,105.14,161.72,130.79,105.14
-0.45,0.15,-0.88,-1.56,-4.85,-0.83,160.78,148.2,482.1,-119.85,105.05,161.54,130.65,105.05
-0.48,0.15,-0.89,1.47,-4.36,-0.27,160.29,147.36,482.25,-120.3,105.03,161.67,130.55,105.03
-0.47,0.15,-0.88,-0.13,-0.16,-2.3,160.07,147.51,482.24,-120.31,104.79,161.62,130.87,104.79
-0.48,0.15,-0.88,0.7,0.27,-2.22,159.48,146.6,482.31,-120.28,104.56,161.65,131.22,104.56
-0.48,0.14,-0.86,1.99,0.45,-2.62,159.33,146.27,482.51,-120.24,104.3,161.8,131.56,104.3
-0.46,0.15,-0.86,0.83,-3.26,2.3,159.46,147.1,482.6,-120.57,104.53,161.83,131.55,104.53
-0.45,0.13,-0.88,-1.88,-7.11,2.97,162.86,148.88,482.41,-121.28,104.83,161.67,131.2,104.83
-0.45,0.14,-0.88,-1.34,-4.27,0.82,161.88,148.55,482.27,-121.72,104.91,161.54,131.12,104.91
-0.48,0.16,-0.89,0.31,-3.7,-1.35,158.91,146.56,482.3,-122.1,104.78,161.52,131.06,104.78
-0.47,0.15,-0.88,-0.69,-5,2.17,159.58,147.18,482.23,-122.61,105,161.41,130.88,105
